Date,Identifier,Portfolio_manager,Tickers,Type_Description,Quantity,Value
01/01/2021,1,,ADP,Dividend Reinvested,0,53.94
01/01/2021,2,,IMO,Dividend Reinvested,0,17.2
01/01/2021,3,,IMO,Foreign Tax Withheld,0,-2.58
01/01/2021,4,,CASH:CASH,Management Fee,0,-450
01/01/2021,6,,AHL-PD,Dividend Reinvested,0,105.48
01/01/2021,7,,816851604,Interest Reinvested,0,28.75
01/01/2021,9,,CASH:CASH,Remark,0,-1582.61
03/01/2021,12,,CASH:CASH,Interest Reinvested,0,8.55
03/01/2021,13,,CASH:CASH,Interest Reinvested,0,8.55
04/01/2021,17,,SPXL,Sell,-100,7116.34
04/01/2021,20,,XMLV,Dividend Reinvested,0.0805,-3.87
04/01/2021,21,,CASH:CASH,Contribution,6000,-6000
04/01/2021,39,,VSCIX,Management Fee,-0.022,2.04
04/01/2021,40,,RERGX,Management Fee,-0.026,1.78
04/01/2021,41,,FSKAX,Management Fee,-0.06,6.33
04/01/2021,42,,TBCIX,Management Fee,-0.015,2.35
04/01/2021,43,,XMMO,Dividend Reinvested,0.0377,-2.96
04/01/2021,44,,FPXI,Dividend Reinvested,0.0099,-0.69
04/01/2021,45,,XMMO,Dividend Reinvested,0.0126,-0.99
04/01/2021,46,,PPA,Dividend Reinvested,0.0372,-2.5
04/01/2021,47,,XMMO,Dividend Reinvested,0.0251,-1.97
04/01/2021,48,,PSL,Dividend Reinvested,0.0144,-1.24
04/01/2021,53,,PLTR,Buy,36,-825.73
04/01/2021,60,,VMFXX,Management Fee,-0.07,0.07
04/01/2021,61,,DFSTX,Management Fee,-0.011,0.42
04/01/2021,62,,DODFX,Management Fee,-0.003,0.15
04/01/2021,63,,BCOIX,Management Fee,-0.107,1.3
04/01/2021,64,,FXNAX,Management Fee,-0.012,0.14
04/01/2021,65,,FXAIX,Management Fee,-0.022,2.77
04/01/2021,66,,FSKAX,Management Fee,-0.025,2.64
04/01/2021,67,,FTIHX,Management Fee,-0.184,2.51
04/01/2021,68,,SPAXX,Sell,-100,100
04/01/2021,69,,GPC,Dividend Reinvested,0,59.25
04/01/2021,70,,WMT,Dividend Reinvested,0,43.2
04/01/2021,71,,VIAC,Dividend Reinvested,0,48
04/01/2021,72,,VIAC,Dividend Reinvested,0,14.18
04/01/2021,73,,VIAC,Dividend Reinvested,0.384,-14.18
04/01/2021,74,,VIAC,Dividend Reinvested,0,24.45
04/01/2021,75,,VIAC,Dividend Reinvested,0.662,-24.45
04/01/2021,76,,UN:004919F2/81,Contribution,20.747,-300
04/01/2021,77,,PPL,Dividend Reinvested,0,33.71
04/01/2021,78,,PPL,Dividend Reinvested,1.224,-33.71
04/01/2021,79,,XMLV,Dividend Reinvested,0.0965,-4.64
04/01/2021,86,,WMT,Dividend Reinvested,0,0.27
04/01/2021,87,,ICE,Dividend Reinvested,3.00E-04,-0.03
04/01/2021,91,,WMT,Dividend Reinvested,0,0.04
04/01/2021,92,,ICE,Dividend Reinvested,3.00E-04,-0.03
04/01/2021,94,,WMT,Dividend Reinvested,0,0.44
04/01/2021,95,,ICE,Dividend Reinvested,0.0026,-0.3
04/01/2021,96,,DIG,Dividend Reinvested,0.0744,-5.63
04/01/2021,100,,CASH:CASH,Dividend Reinvested,0.06,0.06
04/01/2021,101,,CASH:CASH,Dividend Reinvested,2.105,2.105
04/01/2021,102,,CASH:CASH,Dividend Reinvested,8.671,8.671
04/01/2021,103,,CASH:CASH,Dividend Reinvested,2.403,2.403
04/01/2021,104,,CASH:CASH,Dividend Reinvested,0,0.06
04/01/2021,105,,CASH:CASH,Dividend Reinvested,0,30.98
04/01/2021,106,,CASH:CASH,Dividend Reinvested,0,91.91
04/01/2021,107,,CASH:CASH,Dividend Reinvested,0,18.74
04/01/2021,108,,CASH:CASH,Dividend Reinvested,0,5.64
04/01/2021,109,,CASH:CASH,Dividend Reinvested,0,5.1
04/01/2021,110,,CASH:CASH,Dividend Reinvested,0.373,0.373
04/01/2021,111,,CASH:CASH,Dividend Reinvested,0.421,0.421
04/01/2021,114,,VTTSX,Contribution,2.31,-100
04/01/2021,115,,BFAFX,Dividend Reinvested,0,23.99
04/01/2021,116,,BFAFX,Dividend Reinvested,0,492.97
04/01/2021,117,,BFAFX,Dividend Reinvested,0,198.42
04/01/2021,118,,WMT,Dividend Reinvested,7.242,-1045.31
04/01/2021,119,,WMT,Dividend Reinvested,0,1045.31
04/01/2021,120,,CASH:CASH,Management Fee,0,-1224.51
04/01/2021,121,,CASH:CASH,Management Fee,0,-1224.51
04/01/2021,122,,CASH:CASH,Management Fee,0,-1224.51
04/01/2021,123,,CASH:CASH,Management Fee,0,-2404.68
04/01/2021,124,,CASH:CASH,Management Fee,0,-2404.68
04/01/2021,125,,CASH:CASH,Management Fee,0,-2404.68
04/01/2021,127,,CASH:CASH,Management Fee,0,-1608.71
04/01/2021,129,,CASH:CASH,Management Fee,0,-1608.71
04/01/2021,131,,CASH:CASH,Management Fee,0,-1608.71
04/01/2021,134,,VMFXX,Management Fee,0,-26.74
04/01/2021,135,,VMFXX,Management Fee,0,-2889.94
04/01/2021,136,,VMFXX,Management Fee,0,-105.48
04/01/2021,137,,VNO.PRM,Dividend Reinvested,0,32.81
04/01/2021,138,,VMFXX,Management Fee,0,-61.56
04/01/2021,139,,VMLUX,Dividend Reinvested,0,46.53
04/01/2021,140,,VWSUX,Dividend Reinvested,0,134.55
04/01/2021,141,,VWSUX,Dividend Reinvested,8.436,-134.55
04/01/2021,142,,VMLUX,Dividend Reinvested,0,46.53
04/01/2021,143,,VWSUX,Dividend Reinvested,0,134.55
04/01/2021,144,,VWSUX,Dividend Reinvested,8.436,-134.55
04/01/2021,145,,VMLUX,Dividend Reinvested,0,46.53
04/01/2021,146,,VWSUX,Dividend Reinvested,0,134.55
04/01/2021,147,,VWSUX,Dividend Reinvested,8.436,-134.55
04/01/2021,148,,VMLUX,Dividend Reinvested,0,241.04
04/01/2021,149,,VCADX,Dividend Reinvested,0,845.95
04/01/2021,150,,VMLUX,Dividend Reinvested,0,241.04
04/01/2021,151,,VCADX,Dividend Reinvested,0,845.95
04/01/2021,152,,VMLUX,Dividend Reinvested,0,241.04
04/01/2021,153,,VCADX,Dividend Reinvested,0,845.95
04/01/2021,154,,VFIDX,Dividend Reinvested,0,5.21
04/01/2021,155,,VFSUX,Dividend Reinvested,0,120.22
04/01/2021,156,,VFIDX,Dividend Reinvested,0,5.21
04/01/2021,157,,VFSUX,Dividend Reinvested,0,120.22
04/01/2021,158,,VFIDX,Dividend Reinvested,0,5.21
04/01/2021,159,,VFSUX,Dividend Reinvested,0,120.22
04/01/2021,160,,VFIDX,Dividend Reinvested,0,4.92
04/01/2021,161,,VFIDX,Dividend Reinvested,0,4.92
04/01/2021,162,,VFIDX,Dividend Reinvested,0,4.92
04/01/2021,163,,VFIDX,Dividend Reinvested,0,141.61
04/01/2021,164,,VFSUX,Dividend Reinvested,0,379.75
04/01/2021,165,,VFIDX,Dividend Reinvested,0,141.61
04/01/2021,166,,VFSUX,Dividend Reinvested,0,379.75
04/01/2021,167,,VFIDX,Dividend Reinvested,0,141.61
04/01/2021,168,,VFSUX,Dividend Reinvested,0,379.75
04/01/2021,169,,VFIDX,Dividend Reinvested,0,511.62
04/01/2021,170,,VFIDX,Dividend Reinvested,0,511.62
04/01/2021,171,,VFIDX,Dividend Reinvested,0,511.62
04/01/2021,172,,VFSUX,Dividend Reinvested,0,108.1
04/01/2021,173,,VFSUX,Dividend Reinvested,0,108.1
04/01/2021,174,,VFSUX,Dividend Reinvested,0,108.1
04/01/2021,175,,UN:008F8486/11800,Management Fee,0,-78.29
04/01/2021,176,,UN:008F8486/11800,Remark,0,78.29
04/01/2021,177,,VMFXX,Management Fee,0,-78.29
04/01/2021,178,,VFSTX,Dividend Reinvested,0,78.29
04/01/2021,179,,UN:008F8486/11800,Management Fee,0,-117.82
04/01/2021,180,,UN:008F8486/11800,Remark,0,117.82
04/01/2021,181,,VMFXX,Management Fee,0,-117.82
04/01/2021,182,,VWSUX,Dividend Reinvested,0,117.82
04/01/2021,183,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,184,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,185,,FI:3907/335,Remark,0.013,-0.21
04/01/2021,186,,DODGX,Interest Reinvested,0,0.09
04/01/2021,187,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,188,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,189,,VSIIX,Remark,0.009,-0.31
04/01/2021,190,,FBGKX,Interest Reinvested,0,0.06
04/01/2021,191,,RERGX,Interest Reinvested,0,0.03
04/01/2021,192,,FXAIX,Management Fee,-0.021,2.74
04/01/2021,193,,PRJIX,Management Fee,-0.003,0.26
04/01/2021,194,,OPYM,Management Fee,-0.002,0.28
04/01/2021,195,,OPYI,Management Fee,-0.046,2.27
04/01/2021,196,,FI:3907/335,Management Fee,-0.013,0.21
